t_sec,x,y,z,qx,qy,qz,qw
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
56,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
57,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
58,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
58,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
58,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
58,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
58,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
58,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
58,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
58,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
58,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
58,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
58,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
58,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
58,0.40956067457899092,-0.27986098742152643,0.01499962865844723,0.13428718473852741,0.99094245645948709,-6.17280918881219e-07,-8.1072419983460394e-07
